dataset_partition,condition,shift_family,severity,method,accuracy,nll,brier,ece,mce,mean_confidence
test,shifted,blur,3.0,uncalibrated,0.7555555555555555,0.9558554383003464,0.44044196397178964,0.22515705066261357,0.8119727817753538,0.536749906076358
test,shifted,blur,3.0,scalar_temperature,0.7555555555555555,1.0130215065950507,0.4635847363593303,0.2669807610492075,0.8150212322347314,0.4947861775209153
test,shifted,blur,3.0,adaptive_temperature,0.7555555555555555,1.0527852977387397,0.4783766299101079,0.28887193838810254,0.502758667560861,0.4728181458925496
test,shifted,pixel_dropout,0.05,uncalibrated,0.9444444444444444,0.18526484668479118,0.08721270642199211,0.03333032959329126,0.6493097531269991,0.9362638945873712
test,shifted,pixel_dropout,0.05,scalar_temperature,0.9444444444444444,0.19032110705472038,0.08776302612531352,0.040521916997090866,0.6625210993938966,0.923242807940231
test,shifted,pixel_dropout,0.05,adaptive_temperature,0.9444444444444444,0.1922284826076462,0.08801245211794535,0.03638745111016216,0.5635213410623796,0.9185814830756144
test,shifted,pixel_dropout,0.1,uncalibrated,0.9333333333333333,0.19752855362693558,0.09677708614024634,0.03832077668691819,0.6100318973920238,0.927718108129137
test,shifted,pixel_dropout,0.1,scalar_temperature,0.9333333333333333,0.2054361411415567,0.09698591267454518,0.04638177217466302,0.6451445942698748,0.9123685052112445
test,shifted,pixel_dropout,0.1,adaptive_temperature,0.9333333333333333,0.20624095849730495,0.09614898712976998,0.059923810226129595,0.6970658978012736,0.9072531789869193
test,shifted,pixel_dropout,0.15,uncalibrated,0.9148148148148149,0.23531836667870928,0.11650874955520074,0.03901717847244782,0.6632905638278186,0.911601797490242
test,shifted,pixel_dropout,0.15,scalar_temperature,0.9148148148148149,0.24460266287535906,0.11726571193805171,0.0498393202561135,0.4344750246950218,0.8939152086906135
test,shifted,pixel_dropout,0.15,adaptive_temperature,0.9148148148148149,0.24825885586131766,0.11752892876499084,0.060077561274741,0.7034485698678012,0.8875420587594284
test,shifted,pixel_dropout,0.25,uncalibrated,0.9222222222222223,0.2881626807626498,0.12993722794583695,0.04829332004818638,0.43232002695299365,0.8748424506315285
test,shifted,pixel_dropout,0.25,scalar_temperature,0.9222222222222223,0.3051686455852434,0.13549956507443414,0.07119785766716141,0.2763594259791372,0.8520422748837092
test,shifted,pixel_dropout,0.25,adaptive_temperature,0.9222222222222223,0.3134582990715412,0.13900721909513541,0.08103038969063588,0.3693658864681598,0.8431136256306674
test,shifted,intensity_shift,0.05,uncalibrated,0.9444444444444444,0.16156550283640736,0.07629927765345278,0.03466900024944348,0.6372453691491256,0.9486360422600988
test,shifted,intensity_shift,0.05,scalar_temperature,0.9444444444444444,0.16562551546454837,0.07619751202871818,0.04603975739094746,0.6648130712864033,0.9366075683891272
test,shifted,intensity_shift,0.05,adaptive_temperature,0.9444444444444444,0.16609654223340747,0.07576646883942142,0.036229543401031086,0.46385984612181247,0.9325072905018784
test,shifted,intensity_shift,0.1,uncalibrated,0.9481481481481482,0.16162860978176058,0.07540943484360493,0.034328895093081416,0.6997067361516622,0.94844111680262
test,shifted,intensity_shift,0.1,scalar_temperature,0.9481481481481482,0.16611902626205033,0.07546750423729202,0.04255302417048494,0.7149901734594238,0.9360458661273895
test,shifted,intensity_shift,0.1,adaptive_temperature,0.9481481481481482,0.16685600775725828,0.07520348120617024,0.04735754300561304,0.7351468121509095,0.931905672146258
test,shifted,intensity_shift,0.15,uncalibrated,0.9481481481481482,0.1623412375113837,0.07483600893103338,0.03112506864826957,0.6429956860696233,0.9477744906751112
test,shifted,intensity_shift,0.15,scalar_temperature,0.9481481481481482,0.16734264583202144,0.07508487449561903,0.042286496850140395,0.6671289697491853,0.9349570477878251
test,shifted,intensity_shift,0.15,adaptive_temperature,0.9481481481481482,0.16835479593297908,0.07499413423255269,0.04153305875342308,0.6940031070735114,0.930769625121601
test,shifted,intensity_shift,0.2,uncalibrated,0.9481481481481482,0.16417977551712706,0.0747843425825127,0.03516772555635027,0.5944534608633418,0.9462463266767784
test,shifted,intensity_shift,0.2,scalar_temperature,0.9481481481481482,0.16973365540072943,0.07525741615394999,0.03850041782778204,0.6283043626233235,0.9330119190645081
test,shifted,intensity_shift,0.2,adaptive_temperature,0.9481481481481482,0.17108380590908304,0.07537601791211539,0.04701824313196623,0.6585500014853177,0.9288070776598794
